7.8  7.5  7    7    8    2    7    4    13   6    7.00
96   95   94   90   85   75   95   110  98   97   95.0
45.5 45   40   44   35   45.5 44   46   55   46   45.5
29.5 30   31   29   40   20   29.5 30.5 30   29.5 31.0
10   10.3 10   11   15   18   10   5    10.5 9.8  10.0
3    3.5  3.2  3.1  3    2    2.1  3    3.1  3.5  3.00
1.8  1.7  1.6  1    1.7  1.6  1.8  2.5  2.0  1.9  1.80
8.3  8    8.1  8.2  8.3  13   9    8.5  8.4  8.3  8.20  
3.0  3.2  3.1  3.0  3.3  3.4  8    3.5  3.2  3.1  3.00
1.2  1.1  1.2  1.3  3    1.5  1.2  1.1  0.7  1.1  1.20
